YEAR,WEEK,PROVINCE,DOSE,VACCINATIONS
2021,07,Vlaams-Brabant,C,19.0
2021,07,West-Vlaanderen,A,12446.0
2021,07,West-Vlaanderen,B,11035.0
2021,08,Antwerpen,A,15847.0
2021,08,Antwerpen,B,13174.0
2021,08,Antwerpen,C,55.0
2021,08,Brabant Wallon,A,3561.0
2021,08,Brabant Wallon,B,2580.0
2021,08,Brussels,A,7460.0
2021,08,Brussels,B,6217.0
2021,08,Hainaut,A,8625.0
2021,08,Hainaut,B,6698.0
2021,08,Limburg,A,7464.0
2021,08,Limburg,B,5699.0
2021,08,Limburg,C,22.0
2021,08,Liège,A,10018.0
2021,08,Liège,B,7541.0
2021,08,Luxembourg,A,2107.0
2021,08,Luxembourg,B,1896.0
2021,08,Namur,A,4359.0
2021,08,Namur,B,3290.0
2021,08,Oost-Vlaanderen,A,14274.0
2021,08,Oost-Vlaanderen,B,11183.0
2021,08,Oost-Vlaanderen,C,17.0
2021,08,Vlaams-Brabant,A,12260.0
2021,08,Vlaams-Brabant,B,8799.0
2021,08,Vlaams-Brabant,C,20.0
2021,08,West-Vlaanderen,A,14193.0
2021,08,West-Vlaanderen,B,11311.0
2021,09,Antwerpen,A,21195.0
2021,09,Antwerpen,B,13259.0
2021,09,Antwerpen,C,63.0
2021,09,Brabant Wallon,A,4403.0
2021,09,Brabant Wallon,B,2751.0
2021,09,Brussels,A,9374.0
2021,09,Brussels,B,6323.0
2021,09,Hainaut,A,10741.0
2021,09,Hainaut,B,7180.0
2021,09,Limburg,A,9973.0
2021,09,Limburg,B,5758.0
2021,09,Limburg,C,27.0
2021,09,Liège,A,11844.0
2021,09,Liège,B,8119.0
2021,09,Luxembourg,A,2394.0
2021,09,Luxembourg,B,1968.0
2021,09,Namur,A,5344.0
2021,09,Namur,B,3671.0
2021,09,Oost-Vlaanderen,A,18921.0
2021,09,Oost-Vlaanderen,B,11399.0
2021,09,Oost-Vlaanderen,C,17.0
2021,09,Vlaams-Brabant,A,15579.0
2021,09,Vlaams-Brabant,B,9008.0
2021,09,Vlaams-Brabant,C,20.0
2021,09,West-Vlaanderen,A,17828.0
2021,09,West-Vlaanderen,B,11511.0
2021,10,Antwerpen,A,25339.0
2021,10,Antwerpen,B,13580.0
2021,10,Antwerpen,C,69.0
